,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree_centrality,weighted_pagerank,composite_centrality,node_type,weight,label,degree,repo_id,repo_name,in_lcc
R_16563587,0.051194539249146756,0.3886138613861386,0.05445301509666329,0.1168162762824503,0.009516606446469785,0.46757679180887374,0.009516606446469785,0.48242464135093954,Repo,1,R_16563587,276,16563587,cockroachdb/cockroach,True
R_927442,0.06143344709897611,0.38957816377171217,0.033589732422366896,0.186099853706386,0.05017490945526979,7.467576791808874,0.05017490945526979,0.852413846818153,Repo,1,R_927442,23,927442,postgres/postgres,True
R_4407129,0.013651877133105802,0.33404255319148934,0.0024792999304371977,0.0527059709904171,0.001579047354983378,0.023890784982935155,0.001579047354983378,0.1752524215135963,Repo,1,R_4407129,12,4407129,postgis/postgis,True
R_176278485,0.013651877133105802,0.2859744990892532,0.009205241436762315,0.01296846485353575,0.004007365792038341,0.017064846416382253,0.004007365792038341,0.16885220108102983,Repo,1,R_176278485,10,176278485,sqlite/sqlite,True
R_11225014,0.030716723549488054,0.3333333333333333,0.013972243063491837,0.04281316745235826,0.014936433036740387,0.43686006825938567,0.014936433036740387,0.313469971052541,Repo,1,R_11225014,238,11225014,etcd-io/etcd,True
R_156018,0.020477815699658702,0.3390928725701944,0.015126436394371673,0.03981289059850672,0.009772877370456411,0.08532423208191127,0.009772877370456411,0.26303517795563963,Repo,1,R_156018,113,156018,redis/redis,True
R_422821402,0.006825938566552901,0.28390596745027125,0.015291738744214313,0.011987652361181923,0.004447583830547661,0.04436860068259386,0.004447583830547661,0.17522821946604877,Repo,1,R_422821402,103,422821402,FerretDB/FerretDB,True
R_41986369,0.030716723549488054,0.37559808612440193,0.011171783212666491,0.12701216042325938,0.014906183556926137,1.2559726962457338,0.014906183556926137,0.3821057718222969,Repo,1,R_41986369,148,41986369,pingcap/tidb,True
R_48833910,0.027303754266211604,0.34279475982532753,0.012958297138615781,0.0887496179406929,0.013818207957458497,1.1262798634812288,0.013818207957458497,0.34026266512707526,Repo,1,R_48833910,74,48833910,tikv/tikv,True
R_24494032,0.04436860068259386,0.35201793721973096,0.013155289548064058,0.08599600743707413,0.00822797357159897,0.18088737201365188,0.00822797357159897,0.32049737730466166,Repo,1,R_24494032,23,24494032,mysql/mysql-server,True
R_6838921,0.034129692832764506,0.3552036199095023,0.009847122515472866,0.10029299736950338,0.019363055830328216,1.5733788395904438,0.019363055830328216,0.39466811027948384,Repo,1,R_6838921,193,6838921,prometheus/prometheus,True
R_206444,0.040955631399317405,0.3435448577680525,0.003565088051028399,0.17187298572562804,0.0058524047653066005,0.3037542662116041,0.0058524047653066005,0.32265224103009865,Repo,1,R_206444,61,206444,apache/hive,True
R_150954997,0.027303754266211604,0.3568181818181818,0.006250083469622983,0.07999477059279955,0.004384893762721884,0.25597269624573377,0.004384893762721884,0.25131823343904675,Repo,1,R_150954997,122,150954997,VictoriaMetrics/VictoriaMetrics,True
R_6934395,0.08191126279863481,0.4197860962566845,0.04400351502609804,0.2348011540248812,0.02808894801856044,2.2081911262798637,0.02808894801856044,0.7225494510254915,Repo,1,R_6934395,69,6934395,facebook/rocksdb,True
R_334274271,0.030716723549488054,0.3552036199095023,0.006227569380121717,0.11515253601496758,0.009439450301401451,0.9453924914675768,0.009439450301401451,0.31821118571575796,Repo,1,R_334274271,311,334274271,opensearch-project/OpenSearch,True
R_341631350,0.030716723549488054,0.32983193277310924,0.003322278642166838,0.07828944658578574,0.01361882834682443,1.372013651877133,0.01361882834682443,0.3141474835435259,Repo,1,R_341631350,100,341631350,apache/lucene,True
R_507775,0.06143344709897611,0.37115839243498816,0.036604781047225414,0.17241088928422962,0.02769269151941828,2.9112627986348123,0.02769269151941828,0.629393776108485,Repo,1,R_507775,161,507775,elastic/elasticsearch,True
R_17224514,0.006825938566552901,0.2798573975044563,0.00033680987687669466,0.01577975664901701,0.0009743876883996469,0.010238907849829351,0.0009743876883996469,0.11597900826729317,Repo,1,R_17224514,8,17224514,ehcache/ehcache3,True
R_17165658,0.05460750853242321,0.37922705314009664,0.011943268241895266,0.2366983241149166,0.021482167284618485,1.6143344709897611,0.021482167284618485,0.5306056052617926,Repo,1,R_17165658,317,17165658,apache/spark,True
R_50229487,0.010238907849829351,0.2849364791288566,0.0,0.037099266265718994,0.0016223189739138402,0.09897610921501707,0.0016223189739138402,0.1396887621273655,Repo,1,R_50229487,7,50229487,apache/lucene-solr,True
R_23418517,0.034129692832764506,0.3284518828451883,0.0022271917298464362,0.1534917164867819,0.003234785176606039,0.14334470989761092,0.003234785176606039,0.27433215865315674,Repo,1,R_23418517,10,23418517,apache/hadoop,True
R_453068084,0.04778156996587031,0.38765432098765434,0.014607734928824133,0.22144548953346568,0.0037718383607735053,0.22525597269624573,0.0037718383607735053,0.3915631301724412,Repo,1,R_453068084,321,453068084,risingwavelabs/risingwave,True
R_302827809,0.023890784982935155,0.3442982456140351,0.000526069881320003,0.11863012617431928,0.0021381484299170814,0.05802047781569966,0.0021381484299170814,0.23087128874118787,Repo,1,R_302827809,132,302827809,datafuselabs/databend,True
R_138754790,0.051194539249146756,0.37028301886792453,0.022981662769480143,0.1915981983541418,0.01000200553882264,0.34812286689419797,0.01000200553882264,0.43539787607008856,Repo,1,R_138754790,224,138754790,duckdb/duckdb,True
R_56128733,0.010238907849829351,0.3030888030888031,5.521983393202244e-05,0.06197275814940545,0.0010081190789754096,0.017064846416382253,0.0010081190789754096,0.15447977931628662,Repo,1,R_56128733,19,56128733,apache/impala,True
R_9342529,0.030716723549488054,0.3819951338199513,0.014137002344458952,0.1622104246768397,0.018579860698150923,2.174061433447099,0.018579860698150923,0.4502134889809625,Repo,1,R_9342529,64,9342529,crate/crate,True
R_358917318,0.05802047781569966,0.3857493857493858,0.015519289302549978,0.2543970757661651,0.011957588496265277,0.5563139931740614,0.011957588496265277,0.4822830239269268,Repo,1,R_358917318,188,358917318,apache/arrow-datafusion,True
R_20587599,0.03754266211604096,0.3568181818181818,0.005012145569939673,0.19560577590040304,0.004342766331231457,0.17747440273037543,0.004342766331231457,0.3270898565313947,Repo,1,R_20587599,93,20587599,apache/flink,True
R_393235957,0.010238907849829351,0.29734848484848486,0.0018212632661648513,0.04232145181757623,0.002094598251478663,0.010238907849829351,0.002094598251478663,0.15253149717613082,Repo,1,R_393235957,9,393235957,risinglightdb/risinglight,True
R_5349565,0.034129692832764506,0.36342592592592593,0.0057894747579831955,0.1953954061690199,0.026114892954193707,2.6075085324232083,0.026114892954193707,0.49795624876231515,Repo,1,R_5349565,75,5349565,prestodb/presto,True
R_11008207,0.013651877133105802,0.29961832061068705,0.0016989256703172668,0.020831040470229146,0.0014423457512973345,0.017064846416382253,0.0014423457512973345,0.14321563353002512,Repo,1,R_11008207,97,11008207,vitessio/vitess,True
R_30753733,0.010238907849829351,0.3115079365079365,0.00031632068297888133,0.034644646436856004,0.0034828651095700747,0.07167235494880546,0.0034828651095700747,0.1583066689391175,Repo,1,R_30753733,10,30753733,percona/percona-server,True
R_114187903,0.040955631399317405,0.30019120458891013,0.01079403307950021,0.05470226608958024,0.004931437359718228,0.05460750853242321,0.004931437359718228,0.2525258538807578,Repo,1,R_114187903,39,114187903,apple/foundationdb,True
